path 11
52.000000 344.000000
176.000000 398.000000
336.000000 430.000000
389.000000 326.000000
479.000000 249.000000
444.000000 154.000000
353.000000 65.000000
145.000000 75.000000
125.000000 180.000000
47.000000 222.000000
40.000000 287.000000
path 9
111.000000 388.000000
130.000000 370.000000
196.000000 417.000000
219.000000 429.000000
248.000000 405.000000
280.000000 430.000000
275.000000 442.000000
306.000000 412.000000
264.000000 342.000000
path 4
356.000000 352.000000
396.000000 291.000000
447.000000 298.000000
465.000000 262.000000
path 5
119.000000 146.000000
180.000000 87.000000
294.000000 58.000000
410.000000 104.000000
438.000000 183.000000
path 3
56.000000 275.000000
74.000000 225.000000
106.000000 209.000000
path 2
126.000000 196.000000
223.000000 244.000000
path 1
213.000000 242.000000
path 1
364.000000 216.000000
path 1
348.000000 159.000000
path 1
242.000000 17.000000
